Variable Ownership Map -- Run:   26AUG2026:11:16:47
Variable                          Owner          N_Src   Sources                              Coalesce
ISO_EXP_INTRAOP_TOTAL             CONFLICT         5     md1|md2|md3|md4|md8                  N
ISO_SEV_EXP_INTRAOP_MAC_AVERAGE   CONFLICT         3     md1|md2|md3                          N
ISO_SEV_INTRAOP_MAC_AVERAGE       md4              1     md4                                  N
ISO_SEV_MAC_TOTAL_EXP             md8              1     md8                                  N
KETAMINE_MG_1_7_TOTAL             CONFLICT         5     md1|md2|md3|md4|md8                  N
KETAMINE_MG_INTRAOP_TOTAL         CONFLICT         5     md1|md2|md3|md4|md8                  N
LATITUDE                          CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
LIDOCAINE_MG_1_7_TOTAL            CONFLICT         4     md1|md2|md3|md4                      N
LIDOCAINE_MG_INTRAOP_TOTAL        CONFLICT         4     md1|md2|md3|md4                      N
LONGITUDE                         CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
LOS                               CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
LOS_IN_HOURS                      CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
LOW_PHYSICAL_ACTIVITY             CONFLICT         2     md6|md7                              N
LOW_PHYSICAL_ACTIVITY_VALUE       CONFLICT         2     md3|md5                              N
MARITAL_STATUS                    CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
MOVEMENTDISORDER                  CONFLICT         2     md4|md5                              N
MOVEMENTDISORDER_YN               CONFLICT         3     md1|md2|md3                          N
NIBP_LESS_60_COUNT                md8              1     md8                                  N
NIBP_LESS_70_COUNT                md8              1     md8                                  N
NIBP_LESS_80_COUNT                md8              1     md8                                  N
ORAL_MORPHINE_EQUIV_GIVEN__1_7_T  CONFLICT         5     md1|md2|md3|md4|md8                  N
ORAL_MORPHINE_EQUIV_INTRAOP_TOTA  CONFLICT         5     md1|md2|md3|md4|md8                  N
ORAL_MORPHINE_EQUIV_MG_POD_DAY1   CONFLICT         5     md1|md2|md3|md4|md8                  N
ORAL_MORPHINE_EQUIV_MG_POD_DAY2   CONFLICT         5     md1|md2|md3|md4|md8                  N
ORAL_MORPHINE_EQUIV_MG_POD_DAY3   CONFLICT         4     md2|md3|md4|md8                      N
ORAL_MORPHINE_EQUIV_MG_POD_DAY4   CONFLICT         4     md2|md3|md4|md8                      N
ORAL_MORPHINE_EQUIV_MG_POD_DAY5   CONFLICT         4     md2|md3|md4|md8                      N
ORAL_MORPHINE_EQUIV_MG_POD_DAY6   CONFLICT         3     md2|md3|md8                          N
ORAL_MORPHINE_EQUIV_MG_POD_DAY7   CONFLICT         4     md2|md3|md4|md8                      N
PATIENT_TYPE                      CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
PAYER                             CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
PRECEDE_STUDY_ID                  CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
PRECEDE_STUDY_ID_1                md6              1     md6                                  N
PREOP_BLOCK                       CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
PROPOFOL_MG_1_7_TOTAL             CONFLICT         5     md1|md2|md3|md4|md8                  N
PROPOFOL_MG_INTRAOP_TOTAL         CONFLICT         5     md1|md2|md3|md4|md8                  N
RACE                              CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
ROOM_TYPE                         CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_ADMIT_TO_AN_END_MINS           CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_ADMIT_TO_AN_START_MINS         CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_ADMIT_TO_BLOCK_END_MINS        CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_ADMIT_TO_BLOCK_START_MINS      CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_ADMIT_TO_DRESS_MINS            CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_ADMIT_TO_INCISION_MINS         CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_ADMIT_TO_RM_END_MINS           CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_ADMIT_TO_RM_START_MINS         CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_ANCHOR_TO_ADMIT_DAYS           CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_ANCHOR_TO_DISCHG_DAYS          CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_ANCHOR_TO_SURGERY_DAYS         CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_AN_START_TO_AN_END_MINS        CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_BLOCK_START_TO_BLOCK_END_MINS  CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_INCISE_TO_DRESS_MINS           CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
RT_RM_START_TO_AN_START_MINS      CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_RM_START_TO_DRESS_MINS         CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
RT_RM_START_TO_EMERGENCE_MINS     CONFLICT         5     md3|md4|md5|md6|md7                  N
RT_RM_START_TO_INCISION_MINS      CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
RT_RM_START_TO_INDUCTION_MINS     CONFLICT         5     md3|md4|md5|md6|md7                  N
RT_RM_START_TO_RM_END_MINS        CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
SD_ABP_MEAN                       md8              1     md8                                  N
SD_BIS_INDEX                      md8              1     md8                                  N
SD_NIBP_MEAN                      md8              1     md8                                  N
SERVICE                           CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
SEV_EXP_INTRAOP_MAC_AVERAGE       CONFLICT         5     md1|md2|md3|md4|md8                  N
SEV_EXP_INTRAOP_MAC_MINUTES_TOTA  CONFLICT         5     md1|md2|md3|md4|md8                  N
SEV_EXP_INTRAOP_MAC_TOTAL         CONFLICT         5     md1|md2|md3|md4|md8                  N
SEV_EXP_INTRAOP_TOTAL             CONFLICT         5     md1|md2|md3|md4|md8                  N
SEX                               CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
SLEEP_APNEA                       CONFLICT         2     md4|md5                              N
SLEEP_APNEA_YN                    CONFLICT         3     md1|md2|md3                          N
SLOW_WALKING_SPEED                CONFLICT         2     md6|md7                              N
SLOW_WALKING_SPEED_VALUE          CONFLICT         2     md3|md5                              N
SORT_ID                           CONFLICT         2     md4|md5                              N
SSDI_DEATH                        md7              1     md7                                  N
SSDI_DEATH_DATE_Y_N               CONFLICT         3     md1|md2|md3                          N
SSDI_DEATH_Y_N                    CONFLICT         3     md4|md5|md6                          N
SUFENTANIL_MG_INTRAOP_TOTAL       CONFLICT         4     md1|md2|md3|md4                      N
SUFENTANIL_MG__1_7_TOTAL          CONFLICT         4     md1|md2|md3|md4                      N
TOTAL_EPHEDRINE_SULFATE_PRESSORS  md8              1     md8                                  N
TOTAL_MIDAZOLAM_MG                md8              1     md8                                  N
TOTAL_NOREPINEPHRINE_BITARTRATE_  md8              1     md8                                  N
TOTAL_PHENYLEPHRINE_HCI_MG        md8              1     md8                                  N
TOTAL_PHENYLEPHRINE_HCL_PRESSORS  md8              1     md8                                  N
UNINTENDED_WEIGHT_LOSS            CONFLICT         2     md6|md7                              N
UNINTENDED_WEIGHT_LOSS_VALUE      CONFLICT         2     md3|md5                              N
WEEKEND_INDICATOR                 CONFLICT         5     md1|md2|md3|md4|md5                  N
WEEK_GRIP_STRENGTH                CONFLICT         2     md6|md7                              N
WEEK_GRIP_STRENGTH_VALUE          CONFLICT         2     md3|md5                              N
YEAR                              md3              1     md3                                  N
_30_DAY_MORTALITY                 CONFLICT         2     md1|md2                              N
