Phase 3 CHARACTER variables and widths (source of truth for LENGTH blocks) -- Run:   26AUG2026:14:28:23
MASTER_DATA_4        CPT_1_Description                    75
MASTER_DATA_4        CPT1_Label                           96
MASTER_DATA_4        Patient_Type                         18
MASTER_DATA_4        Payer                                12
MASTER_DATA_4        ICD10_Principal_Diagnosis_Desc       60
MASTER_DATA_4        ICD10_Principal_Diagnosis             7
MASTER_DATA_4        Intraop_Ketamine                      1
MASTER_DATA_4        Preop_block                           1
MASTER_DATA_4        Admit_Source                         40
MASTER_DATA_4        Dischg_Disposition                   43
MASTER_DATA_4        Death_Date_Y_N                        1
MASTER_DATA_4        SSDI_Death_Y_N                        1
MASTER_DATA_4        Anesthesia_Type                      33
MASTER_DATA_4        Sleep_Apnea                           1
MASTER_DATA_4        Diabetes                              1
MASTER_DATA_4        Hyperlipidemia                        1
MASTER_DATA_4        Hypertension                          1
MASTER_DATA_4        MovementDisorder                      1
MASTER_DATA_4        Cognitive_Disorder                    1
MASTER_DATA_4        Cognitive_Category                   22
MASTER_DATA_4        Frailty_Category                     24
MASTER_DATA_5        PRECEDE_STUDY_ID                     12
MASTER_DATA_5        ENCRYPTED_MRN                        36
MASTER_DATA_5        ENCRYPTED_ENCOUNTER                  46
MASTER_DATA_5        Day_of_Week__CHAR_                    3
MASTER_DATA_5        Holidays                              1
MASTER_DATA_5        Weekend_Indicator                     1
MASTER_DATA_5        EmployeeStatus                       18
MASTER_DATA_5        Education                            19
MASTER_DATA_5        Race                                 16
MASTER_DATA_5        Ethnicity                            15
MASTER_DATA_5        Sex                                   6
MASTER_DATA_5        Marital_Status                       22
MASTER_DATA_5        Service                              32
MASTER_DATA_5        Room_Type                            21
MASTER_DATA_5        Emergent                              1
MASTER_DATA_5        Base_Procedure_1                    198
MASTER_DATA_5        CPT_1                                 6
MASTER_DATA_5        CPT_1_Description                    75
MASTER_DATA_5        Patient_Type                         18
MASTER_DATA_5        Payer                                12
MASTER_DATA_5        ICD10_Principal_Diagnosis_Desc       60
MASTER_DATA_5        ICD10_Principal_Diagnosis             7
MASTER_DATA_5        Intraop_Ketamine                      1
MASTER_DATA_5        Preop_block                           1
MASTER_DATA_5        Admit_Source                         40
MASTER_DATA_5        Dischg_Disposition                   43
MASTER_DATA_5        Death_Date_Y_N                        1
MASTER_DATA_5        SSDI_Death_Y_N                        1
MASTER_DATA_5        Anesthesia_Type                      33
MASTER_DATA_5        Sleep_Apnea                           1
MASTER_DATA_5        Diabetes                              1
MASTER_DATA_5        Hyperlipidemia                        1
MASTER_DATA_5        Hypertension                          1
MASTER_DATA_5        MovementDisorder                      1
MASTER_DATA_5        Cognitive_Disorder                    1
MASTER_DATA_5        Cognitive_Category                   22
MASTER_DATA_5        Frailty_Category                     24
MASTER_DATA_6        PRECEDE_STUDY_ID                     12
MASTER_DATA_6        ENCRYPTED_MRN                        36
MASTER_DATA_6        ENCRYPTED_ENCOUNTER                  46
MASTER_DATA_6        Day_of_Week__CHAR_                    3
MASTER_DATA_6        Holidays                              1
MASTER_DATA_6        Race                                 15
MASTER_DATA_6        Ethnicity                            15
MASTER_DATA_6        Sex                                   6
MASTER_DATA_6        Marital_Status                       22
MASTER_DATA_6        EmployeeStatus                       19
MASTER_DATA_6        Service                              32
MASTER_DATA_6        Room_Type                            22
MASTER_DATA_6        Emergent                              1
MASTER_DATA_6        Base_Procedure_1                    199
MASTER_DATA_6        CPT_1                                 6
MASTER_DATA_6        CPT_1_Description                    75
MASTER_DATA_6        CPT1_Label                           96
MASTER_DATA_6        Patient_Type                         18
MASTER_DATA_6        Payer                                12
MASTER_DATA_6        ICD10_Principal_Diagnosis             7
MASTER_DATA_6        ICD10_Principal_Diagnosis_POA         6
MASTER_DATA_6        IsDead_Y_N                            1
MASTER_DATA_6        SSDI_Death_Y_N                        1
MASTER_DATA_6        Admit_Source                         40
MASTER_DATA_6        Dischg_Disposition                   28
MASTER_DATA_6        Anesthesia_Type                      33
MASTER_DATA_6        Preop_block                           1
MASTER_DATA_6        Intraop_Ketamine                      1
MASTER_DATA_6        Cognitive_Category                   22
MASTER_DATA_6        Frailty_Category                     24
MASTER_DATA_6        Feels_Exausted                        1
MASTER_DATA_6        Low_Physical_Activity                 1
MASTER_DATA_6        Slow_Walking_Speed                    1
MASTER_DATA_6        Unintended_Weight_Loss                1
MASTER_DATA_6        Week_Grip_Strength                    1
MASTER_DATA_6        PRECEDE_Study_ID_1                   12
MASTER_DATA_7        PRECEDE_STUDY_ID                     12
