Phase 3 Variable Inventory (all eight sources) -- Run:   26AUG2026:14:28:22
Source               Variable                          Type    Length
MASTER_DATA_2        rt_ANCHOR_to_SURGERY_days           1         8
MASTER_DATA_2        rt_ANCHOR_to_DISCHG_days            1         8
MASTER_DATA_2        rt_ADMIT_to_AN_START_mins           1         8
MASTER_DATA_2        rt_ADMIT_to_AN_END_mins             1         8
MASTER_DATA_2        rt_ADMIT_to_BLOCK_START_mins        1         8
MASTER_DATA_2        rt_ADMIT_to_BLOCK_END_mins          1         8
MASTER_DATA_2        rt_ADMIT_to_RM_START_mins           1         8
MASTER_DATA_2        rt_ADMIT_to_RM_END_mins             1         8
MASTER_DATA_2        rt_ADMIT_to_INCISION_mins           1         8
MASTER_DATA_2        rt_ADMIT_to_DRESS_mins              1         8
MASTER_DATA_2        rt_INCISE_to_DRESS_mins             1         8
MASTER_DATA_2        rt_RM_START_to_RM_END_mins          1         8
MASTER_DATA_2        rt_RM_START_to_DRESS_mins           1         8
MASTER_DATA_2        rt_RM_START_to_AN_START_mins        1         8
MASTER_DATA_2        rt_RM_START_to_INCISION_mins        1         8
MASTER_DATA_2        rt_AN_START_to_AN_END_mins          1         8
MASTER_DATA_2        rt_BLOCK_START_TO_BLOCK_END_mins    1         8
MASTER_DATA_2        Day_of_Week__CHAR_                  2         3
MASTER_DATA_2        Holidays                            2         1
MASTER_DATA_2        Weekend_Indicator                   2         1
MASTER_DATA_2        Age_at_Encounter                    1         8
MASTER_DATA_2        EmployeeStatus                      2        23
MASTER_DATA_2        Education                           2        19
MASTER_DATA_2        Race                                2        16
MASTER_DATA_2        Ethnicity                           2        15
MASTER_DATA_2        Sex                                 2         6
MASTER_DATA_2        Marital_Status                      2        22
MASTER_DATA_2        Admit_BMI                           1         8
MASTER_DATA_2        Service                             2        32
MASTER_DATA_2        Room_Type                           2        21
MASTER_DATA_2        ASA__Anesth_Record_                 1         8
MASTER_DATA_2        Emergent                            2         1
MASTER_DATA_2        Base_Procedure_1                    2       198
MASTER_DATA_2        Base_Procedure_Code_1               2        10
MASTER_DATA_2        CPT_1                               2         8
MASTER_DATA_2        CPT_1_Description                   2        73
MASTER_DATA_2        Patient_Type                        2        18
MASTER_DATA_2        LOS                                 1         8
MASTER_DATA_2        LOS_in_Hours                        1         8
MASTER_DATA_2        Payer                               2        12
MASTER_DATA_2        Charges                             1         8
MASTER_DATA_2        ICD10_Principal_Diagnosis_Desc      2        60
MASTER_DATA_2        ICD10_Principal_Diagnosis           2         7
MASTER_DATA_2        Charlson_Comorbidity_Index          1         8
MASTER_DATA_2        COMP10_T80                          1         8
MASTER_DATA_2        COMP10_T81                          1         8
MASTER_DATA_2        COMP10_T82                          1         8
MASTER_DATA_2        COMP10_T83                          1         8
MASTER_DATA_2        COMP10_T84                          1         8
MASTER_DATA_2        COMP10_T85                          1         8
MASTER_DATA_2        COMP10_T86                          1         8
MASTER_DATA_2        COMP10_T87                          1         8
MASTER_DATA_2        COMP10_T88                          1         8
MASTER_DATA_2        complication_sum                    1         8
MASTER_DATA_2        Intraop_Ketamine                    2         1
MASTER_DATA_2        Preop_block                         2         1
MASTER_DATA_2        Admit_Source                        2        40
MASTER_DATA_2        Dischg_Disposition                  2        42
MASTER_DATA_2        _30_DAY_MORTALITY                   2         1
MASTER_DATA_2        Death_Date_Y_N                      2         1
