Phase 3 Variable Inventory (all eight sources) -- Run:   26AUG2026:14:28:22
Source               Variable                          Type    Length
MASTER_DATA_5        rt_ADMIT_to_BLOCK_START_mins        1         8
MASTER_DATA_5        rt_ADMIT_to_BLOCK_END_mins          1         8
MASTER_DATA_5        rt_ADMIT_to_RM_START_mins           1         8
MASTER_DATA_5        rt_ADMIT_to_RM_END_mins             1         8
MASTER_DATA_5        rt_ADMIT_to_INCISION_mins           1         8
MASTER_DATA_5        rt_ADMIT_to_DRESS_mins              1         8
MASTER_DATA_5        rt_INCISE_to_DRESS_mins             1         8
MASTER_DATA_5        rt_RM_START_to_RM_END_mins          1         8
MASTER_DATA_5        rt_RM_START_to_DRESS_mins           1         8
MASTER_DATA_5        rt_RM_START_to_AN_START_mins        1         8
MASTER_DATA_5        rt_RM_START_to_INCISION_mins        1         8
MASTER_DATA_5        rt_AN_START_to_AN_END_mins          1         8
MASTER_DATA_5        rt_BLOCK_START_TO_BLOCK_END_mins    1         8
MASTER_DATA_5        Day_of_Week__CHAR_                  2         3
MASTER_DATA_5        Holidays                            2         1
MASTER_DATA_5        Weekend_Indicator                   2         1
MASTER_DATA_5        Age_at_Encounter                    1         8
MASTER_DATA_5        EmployeeStatus                      2        18
MASTER_DATA_5        Education                           2        19
MASTER_DATA_5        Race                                2        16
MASTER_DATA_5        Ethnicity                           2        15
MASTER_DATA_5        Sex                                 2         6
MASTER_DATA_5        Marital_Status                      2        22
MASTER_DATA_5        Admit_BMI                           1         8
MASTER_DATA_5        Service                             2        32
MASTER_DATA_5        Room_Type                           2        21
MASTER_DATA_5        ASA__Anesth_Record_                 1         8
MASTER_DATA_5        Emergent                            2         1
MASTER_DATA_5        Base_Procedure_1                    2       198
MASTER_DATA_5        Base_Procedure_Code_1               1         8
MASTER_DATA_5        CPT_1                               2         6
MASTER_DATA_5        CPT_1_Description                   2        75
MASTER_DATA_5        Patient_Type                        2        18
MASTER_DATA_5        LOS                                 1         8
MASTER_DATA_5        LOS_in_Hours                        1         8
MASTER_DATA_5        Payer                               2        12
MASTER_DATA_5        Charges                             1         8
MASTER_DATA_5        ICD10_Principal_Diagnosis_Desc      2        60
MASTER_DATA_5        ICD10_Principal_Diagnosis           2         7
MASTER_DATA_5        Charlson_Comorbidity_Index          1         8
MASTER_DATA_5        COMP10_T80                          1         8
MASTER_DATA_5        COMP10_T81                          1         8
MASTER_DATA_5        COMP10_T82                          1         8
MASTER_DATA_5        COMP10_T83                          1         8
MASTER_DATA_5        COMP10_T84                          1         8
MASTER_DATA_5        COMP10_T85                          1         8
MASTER_DATA_5        COMP10_T86                          1         8
MASTER_DATA_5        COMP10_T87                          1         8
MASTER_DATA_5        COMP10_T88                          1         8
MASTER_DATA_5        complication_sum                    1         8
MASTER_DATA_5        Intraop_Ketamine                    2         1
MASTER_DATA_5        Preop_block                         2         1
MASTER_DATA_5        Admit_Source                        2        40
MASTER_DATA_5        Dischg_Disposition                  2        43
MASTER_DATA_5        Death_Days_After_Surgery            1         8
MASTER_DATA_5        Death_Date_Y_N                      2         1
MASTER_DATA_5        SSDI_Death_Y_N                      2         1
MASTER_DATA_5        Anesthesia_Type                     2        33
MASTER_DATA_5        Sleep_Apnea                         2         1
MASTER_DATA_5        Diabetes                            2         1
MASTER_DATA_5        Hyperlipidemia                      2         1
MASTER_DATA_5        Hypertension                        2         1
MASTER_DATA_5        MovementDisorder                    2         1
MASTER_DATA_5        Cognitive_Disorder                  2         1
MASTER_DATA_5        Cognitive_Category                  2        22
MASTER_DATA_5        Cognitive_Score                     1         8
MASTER_DATA_5        Frailty_Category                    2        24
MASTER_DATA_5        Frailty_Score                       1         8
MASTER_DATA_5        Feels_Exausted_Value                1         8
MASTER_DATA_5        Low_Physical_Activity_Value         1         8
MASTER_DATA_5        Slow_Walking_Speed_Value            1         8
MASTER_DATA_5        Unintended_Weight_Loss_Value        1         8
MASTER_DATA_5        Week_Grip_Strength_Value            1         8
MASTER_DATA_5        Latitude                            1         8
MASTER_DATA_5        Longitude                           1         8
MASTER_DATA_5        SORT_ID                             1         8
MASTER_DATA_6        PRECEDE_STUDY_ID                    2        12
MASTER_DATA_6        ENCRYPTED_MRN                       2        36
MASTER_DATA_6        ENCRYPTED_ENCOUNTER                 2        46
MASTER_DATA_6        rt_RM_START_to_INDUCTION_mins       1         8
MASTER_DATA_6        rt_RM_START_to_EMERGENCE_mins       1         8
MASTER_DATA_6        rt_ANCHOR_to_ADMIT_days             1         8
MASTER_DATA_6        rt_ANCHOR_to_SURGERY_days           1         8
MASTER_DATA_6        rt_ANCHOR_to_DISCHG_days            1         8
MASTER_DATA_6        rt_ADMIT_to_AN_START_mins           1         8
MASTER_DATA_6        rt_ADMIT_to_AN_END_mins             1         8
MASTER_DATA_6        rt_ADMIT_to_BLOCK_START_mins        1         8
MASTER_DATA_6        rt_ADMIT_to_BLOCK_END_mins          1         8
MASTER_DATA_6        rt_ADMIT_to_RM_START_mins           1         8
MASTER_DATA_6        rt_ADMIT_to_RM_END_mins             1         8
MASTER_DATA_6        rt_ADMIT_to_INCISION_mins           1         8
MASTER_DATA_6        rt_ADMIT_to_DRESS_mins              1         8
MASTER_DATA_6        rt_INCISE_to_DRESS_mins             1         8
MASTER_DATA_6        rt_RM_START_to_RM_END_mins          1         8
MASTER_DATA_6        rt_RM_START_to_DRESS_mins           1         8
MASTER_DATA_6        rt_RM_START_to_AN_START_mins        1         8
MASTER_DATA_6        rt_RM_START_to_INCISION_mins        1         8
MASTER_DATA_6        rt_AN_START_to_AN_END_mins          1         8
MASTER_DATA_6        rt_BLOCK_START_TO_BLOCK_END_mins    1         8
MASTER_DATA_6        Day_of_Week__CHAR_                  2         3
MASTER_DATA_6        Day_of_Week__NUM_                   1         8
MASTER_DATA_6        Holidays                            2         1
MASTER_DATA_6        Age_at_Encounter                    1         8
MASTER_DATA_6        Race                                2        15
MASTER_DATA_6        Ethnicity                           2        15
MASTER_DATA_6        Sex                                 2         6
MASTER_DATA_6        Marital_Status                      2        22
MASTER_DATA_6        Admit_BMI                           1         8
MASTER_DATA_6        EmployeeCode                        1         8
MASTER_DATA_6        EmployeeStatus                      2        19
MASTER_DATA_6        Service                             2        32
MASTER_DATA_6        Room_Type                           2        22
MASTER_DATA_6        ASA__Anesth_Record_                 1         8
MASTER_DATA_6        Emergent                            2         1
MASTER_DATA_6        Base_Procedure_1                    2       199
MASTER_DATA_6        Base_Procedure_Code_1               1         8
MASTER_DATA_6        CPT_1                               2         6
MASTER_DATA_6        CPT_1_Description                   2        75
MASTER_DATA_6        CPT1_Class                          1         8
MASTER_DATA_6        CPT1_Label                          2        96
MASTER_DATA_6        Patient_Type                        2        18
MASTER_DATA_6        LOS                                 1         8
MASTER_DATA_6        LOS_in_Hours                        1         8
MASTER_DATA_6        Payer                               2        12
MASTER_DATA_6        Charges                             1         8
MASTER_DATA_6        ICD10_Principal_Diagnosis           2         7
MASTER_DATA_6        ICD10_Principal_Diagnosis_POA       2         6
MASTER_DATA_6        Charlson_Comorbidity_Index          1         8
MASTER_DATA_6        COMP10_T80                          1         8
MASTER_DATA_6        COMP10_T81                          1         8
MASTER_DATA_6        COMP10_T82                          1         8
MASTER_DATA_6        COMP10_T83                          1         8
MASTER_DATA_6        COMP10_T84                          1         8
MASTER_DATA_6        COMP10_T85                          1         8
MASTER_DATA_6        COMP10_T86                          1         8
MASTER_DATA_6        COMP10_T87                          1         8
MASTER_DATA_6        COMP10_T88                          1         8
MASTER_DATA_6        complication_sum                    1         8
MASTER_DATA_6        Death_Days_After_Surgery            1         8
MASTER_DATA_6        IsDead_Y_N                          2         1
MASTER_DATA_6        SSDI_Death_Y_N                      2         1
MASTER_DATA_6        Admit_Source                        2        40
MASTER_DATA_6        Dischg_Disposition                  2        28
MASTER_DATA_6        Anesthesia_Type                     2        33
MASTER_DATA_6        Latitude                            1         8
MASTER_DATA_6        Longitude                           1         8
MASTER_DATA_6        Preop_block                         2         1
MASTER_DATA_6        Intraop_Ketamine                    2         1
MASTER_DATA_6        Cognitive_Category                  2        22
MASTER_DATA_6        Cognitive_Score                     1         8
MASTER_DATA_6        Frailty_Category                    2        24
MASTER_DATA_6        Frailty_Score                       1         8
MASTER_DATA_6        Feels_Exausted                      2         1
MASTER_DATA_6        Low_Physical_Activity               2         1
MASTER_DATA_6        Slow_Walking_Speed                  2         1
MASTER_DATA_6        Unintended_Weight_Loss              2         1
MASTER_DATA_6        Week_Grip_Strength                  2         1
MASTER_DATA_6        Braden_Activity                     1         8
MASTER_DATA_6        Braden_Mobility                     1         8
MASTER_DATA_6        Braden_Sensory_Perception           1         8
MASTER_DATA_6        PRECEDE_Study_ID_1                  2        12
MASTER_DATA_7        PRECEDE_STUDY_ID                    2        12
MASTER_DATA_7        ENCRYPTED_MRN                       2        36
MASTER_DATA_7        ENCRYPTED_ENCOUNTER                 2        44
MASTER_DATA_7        rt_RM_START_to_INDUCTION_mins       1         8
MASTER_DATA_7        rt_RM_START_to_EMERGENCE_mins       1         8
MASTER_DATA_7        rt_ANCHOR_to_ADMIT_days             1         8
MASTER_DATA_7        rt_ANCHOR_to_SURGERY_days           1         8
MASTER_DATA_7        rt_ANCHOR_to_DISCHG_days            1         8
MASTER_DATA_7        rt_ADMIT_to_AN_START_mins           1         8
MASTER_DATA_7        rt_ADMIT_to_AN_END_mins             1         8
MASTER_DATA_7        rt_ADMIT_to_BLOCK_START_mins        1         8
MASTER_DATA_7        rt_ADMIT_to_BLOCK_END_mins          1         8
MASTER_DATA_7        rt_ADMIT_to_RM_START_mins           1         8
MASTER_DATA_7        rt_ADMIT_to_RM_END_mins             1         8
MASTER_DATA_7        rt_ADMIT_to_INCISION_mins           1         8
MASTER_DATA_7        rt_ADMIT_to_DRESS_mins              1         8
MASTER_DATA_7        rt_INCISE_to_DRESS_mins             1         8
MASTER_DATA_7        rt_RM_START_to_RM_END_mins          1         8
MASTER_DATA_7        rt_RM_START_to_DRESS_mins           1         8
MASTER_DATA_7        rt_RM_START_to_AN_START_mins        1         8
MASTER_DATA_7        rt_RM_START_to_INCISION_mins        1         8
MASTER_DATA_7        rt_AN_START_to_AN_END_mins          1         8
MASTER_DATA_7        rt_BLOCK_START_TO_BLOCK_END_mins    1         8
MASTER_DATA_7        Day_of_Week__CHAR_                  2         3
MASTER_DATA_7        Day_of_Week__NUM_                   1         8
MASTER_DATA_7        Holidays                            2         1
MASTER_DATA_7        Age_at_Encounter                    1         8
MASTER_DATA_7        Race                                2        15
MASTER_DATA_7        Ethnicity                           2        15
MASTER_DATA_7        Sex                                 2         6
MASTER_DATA_7        Marital_Status                      2        22
MASTER_DATA_7        Admit_BMI                           1         8
MASTER_DATA_7        EmployeeCode                        1         8
MASTER_DATA_7        EmployeeStatus                      2        23
MASTER_DATA_7        Service                             2        32
MASTER_DATA_7        Room_Type                           2        22
MASTER_DATA_7        ASA__Anesth_Record_                 1         8
MASTER_DATA_7        Emergent                            2         1
MASTER_DATA_7        Base_Procedure_1                    2       199
MASTER_DATA_7        Base_Procedure_Code_1               1         8
MASTER_DATA_7        CPT_1                               2         6
MASTER_DATA_7        CPT_1_Description                   2        70
MASTER_DATA_7        CPT1_Class                          1         8
MASTER_DATA_7        CPT1_Label                          2        96
MASTER_DATA_7        Patient_Type                        2        18
MASTER_DATA_7        LOS                                 1         8
MASTER_DATA_7        LOS_in_Hours                        1         8
MASTER_DATA_7        Payer                               2        12
MASTER_DATA_7        Charges                             1         8
MASTER_DATA_7        ICD10_Principal_Diagnosis           2         7
MASTER_DATA_7        ICD10_Principal_Diagnosis_POA       2         6
MASTER_DATA_7        Charlson_Comorbidity_Index          1         8
MASTER_DATA_7        COMP10_T80                          1         8
MASTER_DATA_7        COMP10_T81                          1         8
MASTER_DATA_7        COMP10_T82                          1         8
MASTER_DATA_7        COMP10_T83                          1         8
MASTER_DATA_7        COMP10_T84                          1         8
MASTER_DATA_7        COMP10_T85                          1         8
MASTER_DATA_7        COMP10_T86                          1         8
MASTER_DATA_7        COMP10_T87                          1         8
MASTER_DATA_7        COMP10_T88                          1         8
MASTER_DATA_7        complication_sum                    1         8
MASTER_DATA_7        Death_Days_After_Surgery            1         8
MASTER_DATA_7        Death                               2         1
MASTER_DATA_7        SSDI_Death                          2         1
MASTER_DATA_7        Admit_Source                        2        28
MASTER_DATA_7        Anesthesia_Type                     2        33
MASTER_DATA_7        Dischg_Disposition                  2        38
MASTER_DATA_7        Latitude                            1         8
MASTER_DATA_7        Longitude                           1         8
MASTER_DATA_7        Intraop_Ketamine                    2         1
MASTER_DATA_7        Preop_block                         2         1
MASTER_DATA_7        Cognitive_Category                  2        22
MASTER_DATA_7        Cognitive_Score                     1         8
MASTER_DATA_7        Frailty_Category                    2        24
MASTER_DATA_7        Frailty_Score                       1         8
MASTER_DATA_7        Feels_Exausted                      2         3
MASTER_DATA_7        Low_Physical_Activity               2         3
MASTER_DATA_7        Slow_Walking_Speed                  2         3
MASTER_DATA_7        Unintended_Weight_Loss              2         3
MASTER_DATA_7        Week_Grip_Strength                  2         3
MASTER_DATA_7        Braden_Activity                     1         8
MASTER_DATA_7        Braden_Mobility                     1         8
MASTER_DATA_7        Braden_Sensory_Perception           1         8
MASTER_DATA_8        PRECEDE_STUDY_ID                    2        12
MASTER_DATA_8        ENCRYPTED_MRN                       2        40
MASTER_DATA_8        ENCRYPTED_ENCOUNTER                 2        49
MASTER_DATA_8        rt_RM_START_to_INCISION_mins        2         4
MASTER_DATA_8        rt_INCISE_to_DRESS_mins             2         4
MASTER_DATA_8        rt_RM_START_to_RM_END_mins          2         4
MASTER_DATA_8        Age_at_Encounter                    2         4
MASTER_DATA_8        EmployeeStatus                      2        23
MASTER_DATA_8        Education                           2        19
MASTER_DATA_8        Race                                2        16
MASTER_DATA_8        Ethnicity                           2        15
MASTER_DATA_8        Sex                                 2         6
MASTER_DATA_8        Marital_Status                      2        22
MASTER_DATA_8        Admit_BMI                           2        11
MASTER_DATA_8        Service                             2        32
MASTER_DATA_8        ASA__Anesth_Record_                 2         4
MASTER_DATA_8        Emergent                            2         4
MASTER_DATA_8        Base_Procedure_1                    2       198
MASTER_DATA_8        Base_Procedure_Code_1               2        10
MASTER_DATA_8        CPT_1                               2         8
MASTER_DATA_8        CPT_1_Description                   2        75
MASTER_DATA_8        Intraop_Ketamine                    2         4
MASTER_DATA_8        Preop_block                         2         4
MASTER_DATA_8        Cognitive_Category                  2        22
MASTER_DATA_8        Cognitive_Score                     2         4
MASTER_DATA_8        Frailty_Category                    2        24
MASTER_DATA_8        Frailty_Score                       2         4
MASTER_DATA_8        Propofol_mg_IntraOp_Total           1         8
MASTER_DATA_8        Ketamine_mg_IntraOp_Total           1         8
MASTER_DATA_8        Oral_Morphine_Equiv_IntraOp_Tota    1         8
MASTER_DATA_8        ISO_Exp_IntraOp_Total               1         8
MASTER_DATA_8        ISO_Exp_IntraOp_MAC_Total           1         8
MASTER_DATA_8        ISO_Exp_IntraOp_MAC_Average         1         8
MASTER_DATA_8        ISO_Exp_IntraOp_MAC_Minutes_Tota    1         8
MASTER_DATA_8        SEV_Exp_IntraOp_Total               1         8
MASTER_DATA_8        SEV_Exp_IntraOp_MAC_Total           1         8
MASTER_DATA_8        SEV_Exp_IntraOp_MAC_Average         1         8
MASTER_DATA_8        SEV_Exp_IntraOp_MAC_Minutes_Tota    1         8
MASTER_DATA_8        ISO_SEV_MAC_TOTAL_Exp               1         8
MASTER_DATA_8        Propofol_mg_1_7_Total               1         8
MASTER_DATA_8        Ketamine_mg_1_7_Total               1         8
MASTER_DATA_8        Oral_Morphine_Equiv_Given__1_7_T    1         8
MASTER_DATA_8        ORAL_MORPHINE_EQUIV_mg_POD_DAY1     1         8
MASTER_DATA_8        ORAL_MORPHINE_EQUIV_mg_POD_DAY2     1         8
MASTER_DATA_8        ORAL_MORPHINE_EQUIV_mg_POD_DAY3     1         8
MASTER_DATA_8        ORAL_MORPHINE_EQUIV_mg_POD_DAY4     1         8
MASTER_DATA_8        ORAL_MORPHINE_EQUIV_mg_POD_DAY5     1         8
MASTER_DATA_8        ORAL_MORPHINE_EQUIV_mg_POD_DAY6     1         8
MASTER_DATA_8        ORAL_MORPHINE_EQUIV_mg_POD_DAY7     1         8
MASTER_DATA_8        ABP_LESS_THAN_60_COUNT              1         8
MASTER_DATA_8        ABP_LESS_THAN_70_COUNT              1         8
MASTER_DATA_8        ABP_LESS_THAN_80_COUNT              1         8
MASTER_DATA_8        BIS_INDEX_LESS_30_COUNT             1         8
MASTER_DATA_8        BIS_INDEX_LESS_40_COUNT             1         8
MASTER_DATA_8        NIBP_LESS_60_COUNT                  1         8
MASTER_DATA_8        NIBP_LESS_70_COUNT                  1         8
MASTER_DATA_8        NIBP_LESS_80_COUNT                  1         8
MASTER_DATA_8        SD_ABP_Mean                         1         8
MASTER_DATA_8        SD_NIBP_mean                        1         8
MASTER_DATA_8        SD_BIS_index                        1         8
MASTER_DATA_8        AVG_ABP_Mean                        1         8
MASTER_DATA_8        AVG_NIBP_mean                       1         8
MASTER_DATA_8        AVG_BIS_index                       1         8
MASTER_DATA_8        Total_Phenylephrine_HCl_Pressors    1         8
MASTER_DATA_8        Total_EPHEDRINE_SULFATE_PRESSORS    1         8
MASTER_DATA_8        Total_Midazolam_mg                  1         8
MASTER_DATA_8        Total_Phenylephrine_HCI_mg          1         8
MASTER_DATA_8        Total_Norepinephrine_Bitartrate_    1         8
